"","TIME","GEO","PRODUCT","Neto"
"1","2000","Austria","All products",-795903
"2","2000","Austria","Derived heat",0
"3","2000","Austria","Electrical energy",4925
"4","2000","Austria","Gas",-222150
"5","2000","Austria","Nuclear heat",NA
"6","2000","Austria","Renewable energies",1436
"7","2000","Austria","Solid fuels",-126385
"8","2000","Austria","Total petroleum products",-453729
"9","2000","Austria","Waste (non-renewable)",0
"10","2000","Belgium","All products",-2114269
"11","2000","Belgium","Derived heat",0
"12","2000","Belgium","Electrical energy",-15574
"13","2000","Belgium","Gas",-555916
"14","2000","Belgium","Nuclear heat",NA
"15","2000","Belgium","Renewable energies",-4373
"16","2000","Belgium","Solid fuels",-305619
"17","2000","Belgium","Total petroleum products",-1232787
"18","2000","Belgium","Waste (non-renewable)",0
"19","2000","Bulgaria","All products",-357736
"20","2000","Bulgaria","Derived heat",0
"21","2000","Bulgaria","Electrical energy",16632
"22","2000","Bulgaria","Gas",-114807
"23","2000","Bulgaria","Nuclear heat",NA
"24","2000","Bulgaria","Renewable energies",103
"25","2000","Bulgaria","Solid fuels",-94521
"26","2000","Bulgaria","Total petroleum products",-165144
"27","2000","Bulgaria","Waste (non-renewable)",0
"28","2000","Croatia","All products",-170977
"29","2000","Croatia","Derived heat",0
"30","2000","Croatia","Electrical energy",-12316
"31","2000","Croatia","Gas",-37894
"32","2000","Croatia","Nuclear heat",NA
"33","2000","Croatia","Renewable energies",0
"34","2000","Croatia","Solid fuels",-20030
"35","2000","Croatia","Total petroleum products",-100738
"36","2000","Croatia","Waste (non-renewable)",0
"37","2000","Cyprus","All products",-107405
"38","2000","Cyprus","Derived heat",0
"39","2000","Cyprus","Electrical energy",0
"40","2000","Cyprus","Gas",NA
"41","2000","Cyprus","Nuclear heat",NA
"42","2000","Cyprus","Renewable energies",NA
"43","2000","Cyprus","Solid fuels",NA
"44","2000","Cyprus","Total petroleum products",-105963
"45","2000","Cyprus","Waste (non-renewable)",NA
"46","2000","Czech Republic","All products",-394022
"47","2000","Czech Republic","Derived heat",139
"48","2000","Czech Republic","Electrical energy",36061
"49","2000","Czech Republic","Gas",-313256
"50","2000","Czech Republic","Nuclear heat",NA
"51","2000","Czech Republic","Renewable energies",-115
"52","2000","Czech Republic","Solid fuels",197677
"53","2000","Czech Republic","Total petroleum products",-314528
"54","2000","Czech Republic","Waste (non-renewable)",0
"55","2000","Denmark","All products",308405
"56","2000","Denmark","Derived heat",-144
"57","2000","Denmark","Electrical energy",-2394
"58","2000","Denmark","Gas",120678
"59","2000","Denmark","Nuclear heat",NA
"60","2000","Denmark","Renewable energies",-2466
"61","2000","Denmark","Solid fuels",-158376
"62","2000","Denmark","Total petroleum products",351107
"63","2000","Denmark","Waste (non-renewable)",0
"64","2000","Estonia","All products",-68376
"65","2000","Estonia","Derived heat",0
"66","2000","Estonia","Electrical energy",3345
"67","2000","Estonia","Gas",-27717
"68","2000","Estonia","Nuclear heat",NA
"69","2000","Estonia","Renewable energies",190
"70","2000","Estonia","Solid fuels",-11284
"71","2000","Estonia","Total petroleum products",-32908
"72","2000","Estonia","Waste (non-renewable)",0
"73","2000","Euro area (19 countries)","All products",-33514951
"74","2000","Euro area (19 countries)","Derived heat",144
"75","2000","Euro area (19 countries)","Electrical energy",-66056
"76","2000","Euro area (19 countries)","Gas",-7418401
"77","2000","Euro area (19 countries)","Nuclear heat",NA
"78","2000","Euro area (19 countries)","Renewable energies",-11862
"79","2000","Euro area (19 countries)","Solid fuels",-3893030
"80","2000","Euro area (19 countries)","Total petroleum products",-22125746
"81","2000","Euro area (19 countries)","Waste (non-renewable)",0
"82","2000","European Union (28 countries)","All products",-34628924
"83","2000","European Union (28 countries)","Derived heat",139
"84","2000","European Union (28 countries)","Electrical energy",-82876
"85","2000","European Union (28 countries)","Gas",-8101396
"86","2000","European Union (28 countries)","Nuclear heat",NA
"87","2000","European Union (28 countries)","Renewable energies",-14340
"88","2000","European Union (28 countries)","Solid fuels",-4115561
"89","2000","European Union (28 countries)","Total petroleum products",-22314889
"90","2000","European Union (28 countries)","Waste (non-renewable)",0
"91","2000","Finland","All products",-762867
"92","2000","Finland","Derived heat",0
"93","2000","Finland","Electrical energy",-42768
"94","2000","Finland","Gas",-143626
"95","2000","Finland","Nuclear heat",NA
"96","2000","Finland","Renewable energies",0
"97","2000","Finland","Solid fuels",-146940
"98","2000","Finland","Total petroleum products",-429534
"99","2000","Finland","Waste (non-renewable)",0
"100","2000","France","All products",-5613737
"101","2000","France","Derived heat",0
"102","2000","France","Electrical energy",250124
"103","2000","France","Gas",-1497974
"104","2000","France","Nuclear heat",NA
"105","2000","France","Renewable energies",-309
"106","2000","France","Solid fuels",-544491
"107","2000","France","Total petroleum products",-3821088
"108","2000","France","Waste (non-renewable)",0
"109","2000","Germany","All products",-8570619
"110","2000","Germany","Derived heat",144
"111","2000","Germany","Electrical energy",-11005
"112","2000","Germany","Gas",-2380834
"113","2000","Germany","Nuclear heat",NA
"114","2000","Germany","Renewable energies",0
"115","2000","Germany","Solid fuels",-906978
"116","2000","Germany","Total petroleum products",-5271945
