"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"2000","European Union (28 countries)","Terajoule","All products","Imports","53 000 011"
"2000","European Union (28 countries)","Terajoule","All products","Exports","18 371 087"
"2000","European Union (28 countries)","Terajoule","All products","Gross inland consumption","72 436 409"
"2000","European Union (28 countries)","Terajoule","Solid fuels","Imports","5 515 756"
"2000","European Union (28 countries)","Terajoule","Solid fuels","Exports","1 400 195"
"2000","European Union (28 countries)","Terajoule","Solid fuels","Gross inland consumption","13 450 238"
"2000","European Union (28 countries)","Terajoule","Total petroleum products","Imports","36 341 075"
"2000","European Union (28 countries)","Terajoule","Total petroleum products","Exports","14 026 186"
"2000","European Union (28 countries)","Terajoule","Total petroleum products","Gross inland consumption","27 726 558"
"2000","European Union (28 countries)","Terajoule","Gas","Imports","10 149 979"
"2000","European Union (28 countries)","Terajoule","Gas","Exports","2 048 583"
"2000","European Union (28 countries)","Terajoule","Gas","Gross inland consumption","16 588 797"
"2000","European Union (28 countries)","Terajoule","Nuclear heat","Imports",":"
"2000","European Union (28 countries)","Terajoule","Nuclear heat","Exports",":"
"2000","European Union (28 countries)","Terajoule","Nuclear heat","Gross inland consumption","10 209 125"
"2000","European Union (28 countries)","Terajoule","Derived heat","Imports","144"
"2000","European Union (28 countries)","Terajoule","Derived heat","Exports","283"
"2000","European Union (28 countries)","Terajoule","Derived heat","Gross inland consumption","-139"
"2000","European Union (28 countries)","Terajoule","Renewable energies","Imports","35 097"
"2000","European Union (28 countries)","Terajoule","Renewable energies","Exports","20 757"
"2000","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","4 125 129"
"2000","European Union (28 countries)","Terajoule","Electrical energy","Imports","957 960"
"2000","European Union (28 countries)","Terajoule","Electrical energy","Exports","875 084"
"2000","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","82 876"
"2000","European Union (28 countries)","Terajoule","Industrial wastes","Imports","0"
"2000","European Union (28 countries)","Terajoule","Industrial wastes","Exports","0"
"2000","European Union (28 countries)","Terajoule","Industrial wastes","Gross inland consumption","100 450"
"2000","European Union (28 countries)","Terajoule","Waste (non-renewable)","Imports","0"
"2000","European Union (28 countries)","Terajoule","Waste (non-renewable)","Exports","0"
"2000","European Union (28 countries)","Terajoule","Waste (non-renewable)","Gross inland consumption","253 824"
"2000","Euro area (19 countries)","Terajoule","All products","Imports","43 527 880"
"2000","Euro area (19 countries)","Terajoule","All products","Exports","10 012 929"
"2000","Euro area (19 countries)","Terajoule","All products","Gross inland consumption","50 744 583"
"2000","Euro area (19 countries)","Terajoule","Solid fuels","Imports","4 277 148"
"2000","Euro area (19 countries)","Terajoule","Solid fuels","Exports","384 118"
"2000","Euro area (19 countries)","Terajoule","Solid fuels","Gross inland consumption","7 626 633"
"2000","Euro area (19 countries)","Terajoule","Total petroleum products","Imports","29 639 559"
"2000","Euro area (19 countries)","Terajoule","Total petroleum products","Exports","7 513 813"
"2000","Euro area (19 countries)","Terajoule","Total petroleum products","Gross inland consumption","21 137 397"
"2000","Euro area (19 countries)","Terajoule","Gas","Imports","8 868 002"
"2000","Euro area (19 countries)","Terajoule","Gas","Exports","1 449 601"
"2000","Euro area (19 countries)","Terajoule","Gas","Gross inland consumption","10 784 973"
"2000","Euro area (19 countries)","Terajoule","Nuclear heat","Imports",":"
"2000","Euro area (19 countries)","Terajoule","Nuclear heat","Exports",":"
"2000","Euro area (19 countries)","Terajoule","Nuclear heat","Gross inland consumption","8 115 231"
"2000","Euro area (19 countries)","Terajoule","Derived heat","Imports","0"
"2000","Euro area (19 countries)","Terajoule","Derived heat","Exports","144"
"2000","Euro area (19 countries)","Terajoule","Derived heat","Gross inland consumption","-144"
"2000","Euro area (19 countries)","Terajoule","Renewable energies","Imports","32 513"
"2000","Euro area (19 countries)","Terajoule","Renewable energies","Exports","20 651"
"2000","Euro area (19 countries)","Terajoule","Renewable energies","Gross inland consumption","2 809 521"
"2000","Euro area (19 countries)","Terajoule","Electrical energy","Imports","710 658"
"2000","Euro area (19 countries)","Terajoule","Electrical energy","Exports","644 602"
"2000","Euro area (19 countries)","Terajoule","Electrical energy","Gross inland consumption","66 056"
"2000","Euro area (19 countries)","Terajoule","Industrial wastes","Imports","0"
"2000","Euro area (19 countries)","Terajoule","Industrial wastes","Exports","0"
"2000","Euro area (19 countries)","Terajoule","Industrial wastes","Gross inland consumption","86 709"
"2000","Euro area (19 countries)","Terajoule","Waste (non-renewable)","Imports","0"
"2000","Euro area (19 countries)","Terajoule","Waste (non-renewable)","Exports","0"
"2000","Euro area (19 countries)","Terajoule","Waste (non-renewable)","Gross inland consumption","204 915"
"2000","Belgium","Terajoule","All products","Imports","3 164 473"
"2000","Belgium","Terajoule","All products","Exports","1 050 204"
"2000","Belgium","Terajoule","All products","Gross inland consumption","2 482 902"
"2000","Belgium","Terajoule","Solid fuels","Imports","351 931"
"2000","Belgium","Terajoule","Solid fuels","Exports","46 312"
"2000","Belgium","Terajoule","Solid fuels","Gross inland consumption","335 017"
"2000","Belgium","Terajoule","Total petroleum products","Imports","2 210 330"
"2000","Belgium","Terajoule","Total petroleum products","Exports","977 543"
"2000","Belgium","Terajoule","Total petroleum products","Gross inland consumption","1 007 245"
"2000","Belgium","Terajoule","Gas","Imports","555 916"
"2000","Belgium","Terajoule","Gas","Exports","0"
"2000","Belgium","Terajoule","Gas","Gross inland consumption","559 714"
"2000","Belgium","Terajoule","Nuclear heat","Imports",":"
"2000","Belgium","Terajoule","Nuclear heat","Exports",":"
"2000","Belgium","Terajoule","Nuclear heat","Gross inland consumption","520 096"
"2000","Belgium","Terajoule","Derived heat","Imports","0"
"2000","Belgium","Terajoule","Derived heat","Exports","0"
"2000","Belgium","Terajoule","Derived heat","Gross inland consumption","0"
"2000","Belgium","Terajoule","Renewable energies","Imports","4 373"
"2000","Belgium","Terajoule","Renewable energies","Exports","0"
"2000","Belgium","Terajoule","Renewable energies","Gross inland consumption","26 713"
"2000","Belgium","Terajoule","Electrical energy","Imports","41 922"
"2000","Belgium","Terajoule","Electrical energy","Exports","26 348"
"2000","Belgium","Terajoule","Electrical energy","Gross inland consumption","15 574"
"2000","Belgium","Terajoule","Industrial wastes","Imports","0"
"2000","Belgium","Terajoule","Industrial wastes","Exports","0"
"2000","Belgium","Terajoule","Industrial wastes","Gross inland consumption","10 911"
"2000","Belgium","Terajoule","Waste (non-renewable)","Imports","0"
"2000","Belgium","Terajoule","Waste (non-renewable)","Exports","0"
"2000","Belgium","Terajoule","Waste (non-renewable)","Gross inland consumption","18 544"
"2000","Bulgaria","Terajoule","All products","Imports","467 712"
"2000","Bulgaria","Terajoule","All products","Exports","109 976"
"2000","Bulgaria","Terajoule","All products","Gross inland consumption","775 506"
"2000","Bulgaria","Terajoule","Solid fuels","Imports","99 679"
"2000","Bulgaria","Terajoule","Solid fuels","Exports","5 158"
"2000","Bulgaria","Terajoule","Solid fuels","Gross inland consumption","269 333"
"2000","Bulgaria","Terajoule","Total petroleum products","Imports","249 756"
"2000","Bulgaria","Terajoule","Total petroleum products","Exports","84 612"
"2000","Bulgaria","Terajoule","Total petroleum products","Gross inland consumption","170 328"
"2000","Bulgaria","Terajoule","Gas","Imports","114 807"
"2000","Bulgaria","Terajoule","Gas","Exports","0"
"2000","Bulgaria","Terajoule","Gas","Gross inland consumption","122 732"
"2000","Bulgaria","Terajoule","Nuclear heat","Imports",":"
"2000","Bulgaria","Terajoule","Nuclear heat","Exports",":"
"2000","Bulgaria","Terajoule","Nuclear heat","Gross inland consumption","196 754"
"2000","Bulgaria","Terajoule","Derived heat","Imports","0"
"2000","Bulgaria","Terajoule","Derived heat","Exports","0"
"2000","Bulgaria","Terajoule","Derived heat","Gross inland consumption","0"
"2000","Bulgaria","Terajoule","Renewable energies","Imports","0"
"2000","Bulgaria","Terajoule","Renewable energies","Exports","103"
"2000","Bulgaria","Terajoule","Renewable energies","Gross inland consumption","32 506"
"2000","Bulgaria","Terajoule","Electrical energy","Imports","3 470"
"2000","Bulgaria","Terajoule","Electrical energy","Exports","20 102"
"2000","Bulgaria","Terajoule","Electrical energy","Gross inland consumption","-16 632"
"2000","Bulgaria","Terajoule","Industrial wastes","Imports","0"
"2000","Bulgaria","Terajoule","Industrial wastes","Exports","0"
"2000","Bulgaria","Terajoule","Industrial wastes","Gross inland consumption","484"
"2000","Bulgaria","Terajoule","Waste (non-renewable)","Imports","0"
"2000","Bulgaria","Terajoule","Waste (non-renewable)","Exports","0"
"2000","Bulgaria","Terajoule","Waste (non-renewable)","Gross inland consumption","484"
"2000","Czech Republic","Terajoule","All products","Imports","748 102"
"2000","Czech Republic","Terajoule","All products","Exports","354 080"
"2000","Czech Republic","Terajoule","All products","Gross inland consumption","1 731 953"
"2000","Czech Republic","Terajoule","Solid fuels","Imports","43 446"
"2000","Czech Republic","Terajoule","Solid fuels","Exports","241 123"
"2000","Czech Republic","Terajoule","Solid fuels","Gross inland consumption","906 145"
"2000","Czech Republic","Terajoule","Total petroleum products","Imports","359 838"
"2000","Czech Republic","Terajoule","Total petroleum products","Exports","45 310"
"2000","Czech Republic","Terajoule","Total petroleum products","Gross inland consumption","329 962"
"2000","Czech Republic","Terajoule","Gas","Imports","313 290"
"2000","Czech Republic","Terajoule","Gas","Exports","34"
"2000","Czech Republic","Terajoule","Gas","Gross inland consumption","314 016"
"2000","Czech Republic","Terajoule","Nuclear heat","Imports",":"
"2000","Czech Republic","Terajoule","Nuclear heat","Exports",":"
"2000","Czech Republic","Terajoule","Nuclear heat","Gross inland consumption","146 772"
"2000","Czech Republic","Terajoule","Derived heat","Imports","0"
"2000","Czech Republic","Terajoule","Derived heat","Exports","139"
"2000","Czech Republic","Terajoule","Derived heat","Gross inland consumption","-139"
"2000","Czech Republic","Terajoule","Renewable energies","Imports","118"
"2000","Czech Republic","Terajoule","Renewable energies","Exports","3"
"2000","Czech Republic","Terajoule","Renewable energies","Gross inland consumption","67 614"
"2000","Czech Republic","Terajoule","Electrical energy","Imports","31 410"
"2000","Czech Republic","Terajoule","Electrical energy","Exports","67 471"
"2000","Czech Republic","Terajoule","Electrical energy","Gross inland consumption","-36 061"
"2000","Czech Republic","Terajoule","Industrial wastes","Imports","0"
"2000","Czech Republic","Terajoule","Industrial wastes","Exports","0"
"2000","Czech Republic","Terajoule","Industrial wastes","Gross inland consumption","2 370"
"2000","Czech Republic","Terajoule","Waste (non-renewable)","Imports","0"
"2000","Czech Republic","Terajoule","Waste (non-renewable)","Exports","0"
"2000","Czech Republic","Terajoule","Waste (non-renewable)","Gross inland consumption","3 645"
"2000","Denmark","Terajoule","All products","Imports","608 121"
"2000","Denmark","Terajoule","All products","Exports","916 526"
"2000","Denmark","Terajoule","All products","Gross inland consumption","826 309"
"2000","Denmark","Terajoule","Solid fuels","Imports","161 439"
"2000","Denmark","Terajoule","Solid fuels","Exports","3 063"
"2000","Denmark","Terajoule","Solid fuels","Gross inland consumption","166 859"
"2000","Denmark","Terajoule","Total petroleum products","Imports","413 771"
"2000","Denmark","Terajoule","Total petroleum products","Exports","764 878"
"2000","Denmark","Terajoule","Total petroleum products","Gross inland consumption","381 049"
"2000","Denmark","Terajoule","Gas","Imports","0"
"2000","Denmark","Terajoule","Gas","Exports","120 678"
"2000","Denmark","Terajoule","Gas","Gross inland consumption","186 949"
"2000","Denmark","Terajoule","Nuclear heat","Imports",":"
"2000","Denmark","Terajoule","Nuclear heat","Exports",":"
"2000","Denmark","Terajoule","Nuclear heat","Gross inland consumption","0"
"2000","Denmark","Terajoule","Derived heat","Imports","144"
"2000","Denmark","Terajoule","Derived heat","Exports","0"
"2000","Denmark","Terajoule","Derived heat","Gross inland consumption","144"
"2000","Denmark","Terajoule","Renewable energies","Imports","2 466"
"2000","Denmark","Terajoule","Renewable energies","Exports","0"
"2000","Denmark","Terajoule","Renewable energies","Gross inland consumption","75 238"
"2000","Denmark","Terajoule","Electrical energy","Imports","30 301"
"2000","Denmark","Terajoule","Electrical energy","Exports","27 907"
"2000","Denmark","Terajoule","Electrical energy","Gross inland consumption","2 394"
"2000","Denmark","Terajoule","Industrial wastes","Imports","0"
"2000","Denmark","Terajoule","Industrial wastes","Exports","0"
"2000","Denmark","Terajoule","Industrial wastes","Gross inland consumption","0"
"2000","Denmark","Terajoule","Waste (non-renewable)","Imports","0"
"2000","Denmark","Terajoule","Waste (non-renewable)","Exports","0"
"2000","Denmark","Terajoule","Waste (non-renewable)","Gross inland consumption","13 676"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","All products","Imports","9 845 766"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","All products","Exports","1 275 147"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","All products","Gross inland consumption","14 332 812"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Solid fuels","Imports","929 548"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Solid fuels","Exports","22 570"
